pick_date,pick_time,generated_at,score,conclusion,candidate_tier,short_ready,short_reason,short_blockers,code,name,stock_url,board,industry,pct,price,volume_ratio,turnover,amount,float_mv,sector_rank,sector_avg_pct,sector_lifecycle,relative_strength,market_score,market_light_score,market_light_status,market_light_label,limit_up_count,limit_down_count,limit_spread,sector_score,trend_score,quant_score,intraday_score,risk_score,strategy_score,strategy_penalty,strategy_tags,tail_heat_limit,tail_heat_level,avg_range5,bias_ma5_range_ratio,bias_ma5_percentile60,return_3d,return_5d,ma20_slope,vwap_support_ratio,late_vwap_support_ratio,vwap_deviation,late_amount_ratio,late_up_amount_ratio,max_tail_5m_return,tail_slope,ma5,ma10,ma20,bias_ma5,bias_ma10,bias_ma20,last_time,late_return,last5_return,day_range_pos,intraday_range_pos,flags,adaptive_hits
2026-09-07,21:06:09,2026-09-07 21:06:09,100,核心候选,核心候选,是,核心候选；板块第2；板块启动；跑赢板块3.86%；MA5乖离6.48%；动态乖离0.67倍；14:30后0.12%；尾盘温和；VWAP偏离3.74%；分时位置80%；日内位置80%；MA20斜率向上；尾盘温和走强,,301310,鑫宏业,https://quote.eastmoney.com/sz301310.html,创业板,创业板,5.28,58.01,1.64,11.76,641610000.0,11078000000.0,2,1.4210777126099712,启动,3.858922287390029,15,67,green,绿灯,92,3,89,16,15,15,20,8,14,3,MA20斜率向上；尾盘温和走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯；板块启动,1.0,温和,9.726442282379306,0.6661677321420473,0.6666666666666666,7.267011834319526,11.066436913651167,0.16996409747156438,0.9026217228464419,1.0,3.7384574680639604,0.08747687817238359,0.5866402865838174,0.3106662064204402,0.0020135772638363303,54.48,52.49400000000001,52.45300000000002,6.47944199706314,10.50786756581703,10.594246277619934,15:30,0.12081463583017982,0.0,0.8044237485448195,0.7999999999999996,MA5固定乖离偏高；VWAP偏离偏高,
2026-09-07,21:06:11,2026-09-07 21:06:11,100,核心候选,核心候选,是,核心候选；板块第2；板块启动；跑赢板块4.69%；MA5乖离3.81%；动态乖离0.85倍；14:30后0.19%；尾盘温和；VWAP偏离1.29%；分时位置87%；日内位置75%；MA20斜率向上；尾盘温和走强,,301305,朗坤科技,https://quote.eastmoney.com/sz301305.html,创业板,创业板,6.11,25.88,2.8,10.05,319430000.0,6262000000.0,2,1.4210777126099712,启动,4.688922287390029,15,67,green,绿灯,92,3,89,16,13,13,20,10,14,0,MA20斜率向上；尾盘温和走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯；板块启动,0.97,温和,4.508888729023286,0.8451461334858187,0.75,4.650222401940951,4.481227291077916,2.3876345662463994,0.9812734082397003,1.0,1.292118476722104,0.1032725816268952,0.570910722826752,0.5025125628140614,0.0032262227384179574,24.93,24.822999999999997,24.442999999999998,3.8106698756518176,4.2581476856141665,5.878983758131162,15:30,0.19357336430507743,0.0,0.7474747474747475,0.873493975903614,无明显扣分项,
2026-09-07,21:06:14,2026-09-07 21:06:14,96,核心候选,核心候选,是,核心候选；板块第4；板块分歧；跑赢板块4.17%；MA5乖离1.57%；动态乖离0.29倍；14:30后0.13%；尾盘温和；VWAP偏离2.01%；分时位置85%；日内位置85%；动态乖离健康；MA20斜率向上,,603867,新化股份,https://quote.eastmoney.com/sh603867.html,沪主板,沪主板,4.75,30.46,1.62,5.62,361970000.0,6625000000.0,4,0.5830797546012275,分歧,4.166920245398773,15,67,green,绿灯,92,3,89,12,15,13,20,9,14,2,动态乖离健康；MA20斜率向上；尾盘温和走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯,0.81,温和,5.372216875550784,0.2917211086829678,0.4,0.32938076416337836,2.8012149848126944,1.1823595408647636,0.8202247191011236,1.0,2.0148189208934353,0.05754175827050269,0.6206199581710963,0.2634178465590997,0.002191540653079249,29.99,29.803999999999995,29.310000000000002,1.567189063021024,2.201046839350451,3.9235755714773113,15:30,0.13149243918475495,0.0,0.8512820512820517,0.8534031413612578,板块分歧,
2026-09-07,21:06:11,2026-09-07 21:06:11,94,核心候选,核心候选,是,核心候选；板块第3；板块分歧；跑赢板块1.32%；MA5乖离4.57%；动态乖离0.84倍；14:30后0.04%；尾盘温和；VWAP偏离1.92%；分时位置82%；日内位置81%；尾盘温和走强；VWAP全天承接,,002922,伊戈尔,https://quote.eastmoney.com/sz002922.html,深主板,深主板,2.1,25.8,1.89,9.0,870730000.0,10903000000.0,3,0.7780915492957758,分歧,1.3219084507042242,15,67,green,绿灯,92,3,89,14,13,15,20,8,11,2,尾盘温和走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；不弱于板块；市场绿灯,0.65,温和,5.43045861930854,0.8419149755679055,0.7166666666666667,4.920699471329804,7.32113144758737,-0.9430646672914822,0.6629213483146067,1.0,1.924655115330265,0.10661446023948608,0.6551017738475938,0.19425019425018952,0.0006462453147215719,24.672,24.663000000000004,25.366500000000002,4.571984435797671,4.610144751246792,1.7089468393353346,15:30,0.03877471888329431,0.0,0.8120300751879702,0.8159999999999996,MA20斜率不强；板块分歧,
