pick_date,pick_time,generated_at,score,conclusion,candidate_tier,short_ready,short_reason,short_blockers,code,name,stock_url,board,industry,pct,price,volume_ratio,turnover,amount,float_mv,sector_rank,sector_avg_pct,sector_lifecycle,relative_strength,market_score,market_light_score,market_light_status,market_light_label,limit_up_count,limit_down_count,limit_spread,sector_score,trend_score,quant_score,intraday_score,risk_score,strategy_score,strategy_penalty,strategy_tags,tail_heat_limit,tail_heat_level,avg_range5,bias_ma5_range_ratio,bias_ma5_percentile60,return_3d,return_5d,ma20_slope,vwap_support_ratio,late_vwap_support_ratio,vwap_deviation,late_amount_ratio,late_up_amount_ratio,max_tail_5m_return,tail_slope,ma5,ma10,ma20,bias_ma5,bias_ma10,bias_ma20,last_time,late_return,last5_return,day_range_pos,intraday_range_pos,flags,adaptive_hits
2026-09-01,20:07:19,2026-09-01 20:07:19,93,核心候选,核心候选,是,核心候选；板块第1；板块分歧；跑赢板块3.99%；MA5乖离4.03%；动态乖离1.05倍；14:30后0.44%；尾盘可接受；VWAP偏离1.27%；分时位置91%；日内位置91%；MA20斜率向上；尾盘可接受走强,,002212,天融信,https://quote.eastmoney.com/sz002212.html,深主板,深主板,4.76,6.82,1.76,9.74,765250000.0,8044000000.0,1,0.768718309859155,分歧,3.9912816901408448,10,65,green,绿灯,80,0,80,15,13,15,20,9,13,2,MA20斜率向上；尾盘可接受走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯,0.63,可接受,3.839782550575408,1.048717104300723,0.8166666666666667,-1.5873015873015817,9.646302250803874,0.04567600487210832,0.9550561797752809,1.0,1.2674185761147871,0.14993659292055242,0.809752380295381,0.7363770250368162,0.007363770250368162,6.556,6.379999999999999,6.571000000000001,4.026845637583887,6.896551724137945,3.78937756810227,15:30,0.44182621502208974,0.0,0.9117647058823548,0.9090909090909111,板块分歧,
2026-09-01,20:07:22,2026-09-01 20:07:22,90,观察候选,观察候选,是,观察候选；板块第1；板块分歧；跑赢板块1.84%；MA5乖离2.90%；动态乖离0.83倍；14:30后0.10%；尾盘温和；VWAP偏离0.66%；分时位置71%；日内位置66%；MA20斜率向上；尾盘温和走强,,002284,亚太股份,https://quote.eastmoney.com/sz002284.html,深主板,深主板,2.61,10.22,1.41,5.61,417200000.0,7554000000.000001,1,0.768718309859155,分歧,1.8412816901408449,10,65,green,绿灯,80,0,80,15,13,13,20,9,12,2,MA20斜率向上；尾盘温和走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；不弱于板块；市场绿灯,0.61,温和,3.499013425354734,0.8287244804355702,0.6666666666666666,3.861788617886197,3.861788617886197,1.1171719290884008,0.9550561797752809,1.0,0.6586200423757571,0.1493708522254176,0.6185160249361498,0.4911591355599265,0.0016323865491348528,9.931999999999999,9.725,9.6395,2.8997180829641866,5.08997429305913,6.022096581772929,15:30,0.09794319294809117,0.0,0.6600000000000001,0.7111111111111129,板块分歧,
2026-09-01,20:07:24,2026-09-01 20:07:24,89,观察候选,观察候选,是,观察候选；板块第2；板块分歧；跑赢板块1.78%；MA5乖离3.60%；动态乖离0.98倍；14:30后0.45%；尾盘可接受；VWAP偏离0.78%；分时位置81%；日内位置70%；MA20斜率向上；尾盘可接受走强,,600203,福日电子,https://quote.eastmoney.com/sh600203.html,沪主板,沪主板,2.47,11.22,1.21,5.51,363590000.0,6653000000.0,2,0.6934294478527604,分歧,1.77657055214724,10,65,green,绿灯,80,0,80,15,13,13,20,9,11,2,MA20斜率向上；尾盘可接受走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；不弱于板块；市场绿灯,0.51,可接受,3.6857241910490046,0.9770421894254886,0.6,4.761904761904767,5.7492931196984065,3.040877367896311,0.7790262172284644,1.0,0.7813839794317268,0.16095126604679505,0.8289524525559893,0.5376344086021501,0.007460459564309445,10.83,10.395,10.335,3.6011080332410073,7.936507936507953,8.563134978229314,15:30,0.44762757385856666,0.0,0.6956521739130455,0.8108108108108144,板块分歧,
2026-09-01,20:07:19,2026-09-01 20:07:19,85,观察候选,观察候选,是,观察候选；板块第1；板块分歧；跑赢板块3.26%；MA5乖离3.14%；动态乖离0.83倍；14:30后0.26%；尾盘可接受；VWAP偏离0.05%；分时位置76%；日内位置72%；MA20斜率向上；尾盘可接受走强,,002251,步步高,https://quote.eastmoney.com/sz002251.html,深主板,深主板,4.03,3.87,1.62,6.79,583950000.0,10405000000.0,1,0.768718309859155,分歧,3.2612816901408452,10,65,green,绿灯,80,0,80,15,11,15,20,8,11,5,MA20斜率向上；尾盘可接受走强；VWAP全天承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯,0.58,可接受,3.8049291059022883,0.8265566194493909,0.7166666666666667,1.8421052631579116,5.449591280653965,0.2825999192571871,0.7902621722846442,0.7321428571428571,0.05256013443688534,0.1384346138382261,0.6545204809152583,0.5194805194805197,0.004317789291882572,3.7520000000000002,3.6659999999999995,3.7260000000000004,3.1449893390191885,5.564648117839632,3.864734299516903,15:30,0.2590673575129543,0.0,0.7222222222222228,0.7647058823529409,尾盘VWAP承接不足；板块分歧,
2026-09-01,20:07:22,2026-09-01 20:07:22,85,观察候选,观察候选,是,观察候选；板块第1；板块分歧；跑赢板块2.86%；MA5乖离4.94%；动态乖离0.99倍；14:30后0.25%；尾盘可接受；VWAP偏离0.60%；分时位置88%；日内位置79%；MA20斜率向上；尾盘可接受走强,,002456,欧菲光,https://quote.eastmoney.com/sz002456.html,深主板,深主板,3.63,7.99,1.37,4.63,1219080000.0,27932000000.0,1,0.768718309859155,分歧,2.861281690140845,10,65,green,绿灯,80,0,80,15,13,13,20,8,11,5,MA20斜率向上；尾盘可接受走强；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯,0.61,可接受,4.968049920493809,0.9940060353595284,0.7833333333333333,4.993429697766105,11.281337047353768,1.1603954957429385,0.4868913857677903,1.0,0.5993166534899341,0.13517438638427026,0.7712594306058855,0.37688442211054607,0.004182350480970524,7.614,7.283999999999999,7.3665,4.938271604938271,9.692476661175187,8.46399239801805,15:30,0.25094102885823144,0.0,0.7948717948717949,0.8787878787878811,全天VWAP承接不足；板块分歧,
