pick_date,rank,code,name,board,industry,stock_url,score,conclusion,data_quality,buy_price,next_date,return_open,return_0945,return_1000,best_return_before_1000,worst_return_before_1000,net_return_1000,market_label,market_score,sector_score,trend_score,quant_score,intraday_score,risk_score,pct,volume_ratio,turnover,amount,float_mv,late_return,last5_return,day_range_pos,intraday_range_pos,short_reason,short_blockers,flags
2026-04-01,1,300199,翰宇药业,创业板,创业板,https://quote.eastmoney.com/sz300199.html,94,短线候选,5分钟分时,19.93,2026-04-02,-0.6522829904666239,-0.9031610637230347,-0.2007024586051176,0.25087807325641087,-1.6056196688409408,-0.3507024586051176,顺风,19,18,15,15,17,10,5.561440677966112,2.3137225735078353,7.734661235190138,1334898924.44,17602705764.61169,0.4030226700251882,0.6057546693589044,0.9593495934959344,0.9593495934959344,板块第2；14:30后0.40%；分时位置96%；日内位置96%,,无明显扣分项
2026-04-01,2,300503,昊志机电,创业板,创业板,https://quote.eastmoney.com/sz300503.html,93,短线候选,5分钟分时,54.57,2026-04-02,0.2382261315741374,1.9424592266813256,1.2461059190031154,3.078614623419451,0.2382261315741374,1.0961059190031155,顺风,19,18,13,15,18,10,5.0837666088966005,1.9181111968619526,8.040942781983457,1310435008.5,16819850540.54054,2.0000000000000018,2.267616191904054,0.8846153846153841,0.8846153846153841,板块第2；14:30后2.00%；分时位置88%；日内位置88%,,无明显扣分项
2026-04-01,3,300158,振东制药,创业板,创业板,https://quote.eastmoney.com/sz300158.html,92,短线候选,5分钟分时,6.43,2026-04-02,-0.4665629860031051,-0.3110419906687367,-0.3110419906687367,1.3996889580093264,-1.244167962674958,-0.46104199066873675,顺风,19,18,15,13,17,10,5.40983606557377,1.6859289274259335,5.643541367057872,353719645.1,6380935742.971887,0.46874999999999556,0.6259780907668322,0.973684210526314,0.973684210526314,板块第2；14:30后0.47%；分时位置97%；日内位置97%,,无明显扣分项
2026-04-01,4,600645,中源协和,沪主板,沪主板,https://quote.eastmoney.com/sh600645.html,92,短线候选,5分钟分时,32.54,2026-04-02,1.2292562999385304,-1.87461585740627,-2.3048555623847555,1.2292562999385304,-3.0116779348494216,-2.4548555623847554,顺风,19,16,15,15,17,10,5.3074433656957964,1.5572897539693407,5.687600326612903,854168385.63,15226264150.943396,0.7742335088262609,1.2760659819483156,0.9041095890410955,0.9041095890410955,板块第3；14:30后0.77%；分时位置90%；日内位置90%,,无明显扣分项
2026-04-01,5,300858,科拓生物,创业板,创业板,https://quote.eastmoney.com/sz300858.html,91,短线候选,5分钟分时,19.2,2026-04-02,-3.385416666666663,-4.583333333333329,-5.104166666666665,-3.3333333333333326,-5.156249999999996,-5.2541666666666655,顺风,19,18,13,13,18,10,3.059581320450877,1.917401032615343,8.937020346923648,442953661.43,5058750000.0,0.8933263268523284,1.4263074484944571,0.8482758620689641,0.8482758620689641,板块第2；14:30后0.89%；分时位置85%；日内位置85%,,无明显扣分项
2026-04-07,1,600829,人民同泰,沪主板,沪主板,https://quote.eastmoney.com/sh600829.html,88,短线候选,5分钟分时,11.73,2026-04-08,-3.324808184143224,-3.5805626598465423,-6.223358908780908,-1.7050298380221762,-6.223358908780908,-6.373358908780908,中性偏强,15,16,15,14,18,10,5.675675675675684,2.075248855101599,7.724533943748717,501458213.35999995,6802003571.428572,2.8045574057844025,2.3560209424083656,0.8296296296296295,0.8296296296296295,板块第3；14:30后2.80%；分时位置83%；日内位置83%,,无明显扣分项
2026-04-07,2,301408,华人健康,创业板,创业板,https://quote.eastmoney.com/sz301408.html,87,短线候选,5分钟分时,20.37,2026-04-08,-2.749140893470803,-3.436426116838487,-4.6637211585665135,-0.7363770250368273,-5.252822778595978,-4.813721158566514,中性偏强,15,16,13,15,18,10,5.544041450777204,2.0086328367485176,12.1389285,942753294.3099998,8148000000.0,1.646706586826352,1.24254473161034,0.9515418502202646,0.9515418502202646,板块第2；14:30后1.65%；分时位置95%；日内位置95%,,无明显扣分项
2026-04-07,3,000678,襄阳轴承,深主板,深主板,https://quote.eastmoney.com/sz000678.html,86,短线候选,5分钟分时,13.45,2026-04-08,0.743494423791824,0.22304832713755385,-0.8921933085501821,1.8587360594795488,-1.0408921933085402,-1.042193308550182,中性偏强,15,16,15,13,17,10,2.281368821292773,1.2628628137149525,7.010425756805808,427300394.64,6182231491.1366005,0.0,-0.14847809948033142,0.9374999999999992,0.9374999999999992,板块第1；14:30后0.00%；分时位置94%；日内位置94%,,无明显扣分项
2026-04-07,4,603067,振华股份,沪主板,沪主板,https://quote.eastmoney.com/sh603067.html,84,短线候选,5分钟分时,36.51,2026-04-08,-0.16433853738699877,1.17775951794028,3.177211722815687,4.026294165981925,-1.9446726924130409,3.027211722815687,中性偏强,15,16,13,13,17,10,5.276816608996526,2.769524856189091,6.746308024798327,1813011105.1900003,27584417607.223476,0.49545829892649884,0.7728401876897717,0.9756097560975608,0.9756097560975608,板块第3；14:30后0.50%；分时位置98%；日内位置98%,,无明显扣分项
2026-04-08,1,300199,翰宇药业,创业板,创业板,https://quote.eastmoney.com/sz300199.html,96,短线候选,5分钟分时,20.74,2026-04-09,-1.6393442622950838,0.192864030858253,-1.060752169720347,0.48216007714561027,-1.6393442622950838,-1.210752169720347,顺风,20,20,15,14,17,10,6.358974358974345,1.312990385415951,7.931171398812492,1419720618.5499997,18318119295.436344,0.4844961240309864,0.33865505563617226,0.8897637795275586,0.8897637795275586,板块第2；14:30后0.48%；分时位置89%；日内位置89%,,无明显扣分项
2026-04-08,2,300531,优博讯,创业板,创业板,https://quote.eastmoney.com/sz300531.html,96,短线候选,5分钟分时,20.83,2026-04-09,-2.06433029284685,-1.5842534805568853,-2.06433029284685,-1.008161305808919,-2.352376380220833,-2.21433029284685,顺风,20,20,15,14,17,10,4.93702770780855,1.5883242955416532,10.542105221922919,699004576.69,6688328675.98137,0.19240019240018835,0.4823926676314372,0.854368932038833,0.854368932038833,板块第2；14:30后0.19%；分时位置85%；日内位置85%,,无明显扣分项
2026-04-08,3,300739,明阳电路,创业板,创业板,https://quote.eastmoney.com/sz300739.html,95,短线候选,5分钟分时,26.67,2026-04-09,-2.4371953505811894,-0.48743907011624676,0.6374203224596808,1.4623172103486848,-2.3997000374953115,0.4874203224596808,顺风,20,20,13,15,17,10,6.424581005586605,1.7777579603976794,7.806627570936808,767313860.25,9960228650.137741,0.037509377344346895,0.4141566265060348,0.8508771929824578,0.8508771929824578,板块第2；14:30后0.04%；分时位置85%；日内位置85%,,无明显扣分项
2026-04-08,4,300792,壹网壹创,创业板,创业板,https://quote.eastmoney.com/sz300792.html,95,短线候选,5分钟分时,36.19,2026-04-09,-2.017131804365835,-3.3710969881182606,-2.486874827300356,-1.3263332412268514,-4.006631666206117,-2.636874827300356,顺风,20,20,13,15,17,10,4.868154158214999,2.6023065776786627,6.116311926605505,518537326.0,8575456521.73913,0.16606698034873357,0.4719600222098608,0.8013245033112562,0.8013245033112562,板块第2；14:30后0.17%；分时位置80%；日内位置80%,,无明显扣分项
2026-04-08,5,301123,奕东电子,创业板,创业板,https://quote.eastmoney.com/sz301123.html,95,短线候选,5分钟分时,59.35,2026-04-09,1.381634372367313,6.655433866891314,16.25947767481044,17.270429654591403,1.381634372367313,16.109477674810442,顺风,20,20,13,15,17,10,7.850263492640375,2.6442521890712696,5.5919792795513015,760861614.19,13926049376.607956,0.11808367071524106,0.45700744752878997,0.9049676025917932,0.9049676025917932,板块第2；14:30后0.12%；分时位置90%；日内位置90%,,无明显扣分项
2026-04-10,1,605222,起帆电缆,沪主板,沪主板,https://quote.eastmoney.com/sh605222.html,81,短线候选,5分钟分时,24.28,2026-04-13,-1.2355848434925876,-2.5947281713344372,-1.5238879736408584,-0.9884678747940745,-3.2125205930807255,-1.6738879736408583,中性偏强,15,13,13,14,16,10,4.027420736932319,1.9336187633941806,4.795757123103515,473985716.2,10025849325.931799,0.04120313143800569,-0.08230452674896638,0.7625000000000008,0.7625000000000008,板块第4；14:30后0.04%；分时位置76%；日内位置76%,,无明显扣分项
2026-04-10,2,002427,尤夫股份,深主板,深主板,https://quote.eastmoney.com/sz002427.html,80,短线候选,5分钟分时,6.77,2026-04-13,-2.5110782865583436,-3.2496307237813826,-4.135893648449029,-1.3293943870014702,-4.72673559822746,-4.285893648449029,中性偏强,15,15,11,13,16,10,5.124223602484457,1.9397783540778095,5.418506134686347,354257144.95,6671527272.727273,0.5943536404160454,0.2962962962962834,0.7627118644067786,0.7627118644067786,板块第3；14:30后0.59%；分时位置76%；日内位置76%,,无明显扣分项
2026-04-14,1,300503,昊志机电,创业板,创业板,https://quote.eastmoney.com/sz300503.html,88,短线候选,5分钟分时,56.28,2026-04-15,-0.1421464108031234,-1.528073916133621,0.31982942430703876,0.8528784648187626,-2.4520255863539453,0.16982942430703876,中性偏强,15,16,15,15,17,10,3.133589884551946,1.4504116943167762,5.471680647707012,937880382.0,17346915675.675674,0.5898123324396654,0.6797853309481239,0.8684210526315803,0.8684210526315803,板块第2；14:30后0.59%；分时位置87%；日内位置87%,,无明显扣分项
2026-04-14,2,300051,琏升科技,创业板,创业板,https://quote.eastmoney.com/sz300051.html,87,短线候选,5分钟分时,14.17,2026-04-15,-1.4114326040931546,5.716302046577271,10.444601270289343,11.220889202540585,-1.4114326040931546,10.294601270289343,中性偏强,15,16,15,14,17,10,3.9618488628026416,1.4464125985615897,10.737273990198993,547262865.7,5271866298.342541,0.425230333097093,0.5677785663591228,0.8873239436619718,0.8873239436619718,板块第2；14:30后0.43%；分时位置89%；日内位置89%,,无明显扣分项
2026-04-14,3,300065,海兰信,创业板,创业板,https://quote.eastmoney.com/sz300065.html,87,短线候选,5分钟分时,26.45,2026-04-15,0.1890359168241984,1.625708884688093,1.2854442344045314,2.6465028355387554,0.15122873345936316,1.1354442344045315,中性偏强,15,16,15,14,17,10,4.545454545454541,1.5168124268881515,12.85905101761131,2396425406.6600003,19084237136.465324,0.30337504740234333,1.4965464313123622,0.9612403100775188,0.9612403100775188,板块第2；14:30后0.30%；分时位置96%；日内位置96%,,无明显扣分项
2026-04-14,4,300762,上海瀚讯,创业板,创业板,https://quote.eastmoney.com/sz300762.html,87,短线候选,5分钟分时,38.36,2026-04-15,0.7559958289885316,5.083420229405644,3.884254431699685,5.2659019812304475,0.4171011470281538,3.7342544316996853,中性偏强,15,16,15,14,17,10,6.113416320885201,1.9504174110430021,7.040000428306679,1665968990.2399998,24089087931.03448,0.6559958016268741,0.366300366300365,0.8695652173913051,0.8695652173913051,板块第2；14:30后0.66%；分时位置87%；日内位置87%,,无明显扣分项
2026-04-14,5,301120,新特电气,创业板,创业板,https://quote.eastmoney.com/sz301120.html,86,短线候选,5分钟分时,23.15,2026-04-15,0.5010799136069055,1.900647948164158,1.59827213822894,2.9805615550756004,-1.1663066954643586,1.44827213822894,中性偏强,15,16,13,15,17,10,5.3421914816162985,2.019754586265062,6.223581189312479,528426543.27,8637975683.890577,0.6084311169056722,1.091703056768556,0.9320388349514559,0.9320388349514559,板块第2；14:30后0.61%；分时位置93%；日内位置93%,,无明显扣分项
2026-04-16,1,300184,力源信息,创业板,创业板,https://quote.eastmoney.com/sz300184.html,89,短线候选,5分钟分时,11.94,2026-04-17,-0.08375209380234727,2.59631490787271,3.685092127303191,6.030150753768848,-0.16750418760468344,3.5350921273031912,中性偏强,15,17,15,15,17,10,4.279475982532754,1.285411362190434,8.35297497217151,1131405123.56,13719993642.720913,0.5050505050504972,0.8445945945945832,0.9607843137254877,0.9607843137254877,板块第1；14:30后0.51%；分时位置96%；日内位置96%,,无明显扣分项
2026-04-16,2,300490,华自科技,创业板,创业板,https://quote.eastmoney.com/sz300490.html,89,短线候选,5分钟分时,19.7,2026-04-17,-0.1522842639593791,-1.3197969543147114,-0.2538071065989911,0.9137055837563413,-1.5228426395939132,-0.4038071065989911,中性偏强,15,17,15,14,18,10,5.178857447944463,1.4144908623368548,9.030073694279702,700494604.0,7854454614.797864,1.025641025641022,1.025641025641022,0.8602941176470579,0.8602941176470579,板块第1；14:30后1.03%；分时位置86%；日内位置86%,,无明显扣分项
2026-04-16,3,002119,康强电子,深主板,深主板,https://quote.eastmoney.com/sz002119.html,89,短线候选,5分钟分时,22.48,2026-04-17,-0.0889679715302516,0.6672597864768592,0.0889679715302405,1.2455516014235002,-0.4448398576512469,-0.0610320284697595,中性偏强,15,16,15,15,18,10,3.7378864790032162,1.4438622287455074,10.470061150774692,867659792.72,8436334016.393443,0.8071748878923701,0.44682752457552155,1.0,1.0,板块第3；14:30后0.81%；分时位置100%；日内位置100%,,无明显扣分项
2026-04-16,4,300249,依米康,创业板,创业板,https://quote.eastmoney.com/sz300249.html,88,短线候选,5分钟分时,18.17,2026-04-17,-1.9262520638415048,-1.8161805173362744,-2.2014309301045754,-1.155751238304903,-2.476609796367657,-2.3514309301045753,中性偏强,15,17,13,15,18,10,4.786620530565178,1.297871692465652,7.418418649985281,608289100.03,8329755735.492578,1.5651201788708935,1.5651201788708935,0.912087912087914,0.912087912087914,板块第1；14:30后1.57%；分时位置91%；日内位置91%,,无明显扣分项
2026-04-16,5,002685,华东重机,深主板,深主板,https://quote.eastmoney.com/sz002685.html,88,短线候选,5分钟分时,8.46,2026-04-17,-0.8274231678487065,-0.35460992907803135,-0.7092198581560294,0.8274231678486732,-2.7186761229314516,-0.8592198581560294,中性偏强,15,16,15,15,17,10,4.702970297029707,1.3383051190753257,7.971300382797732,666909144.55,8524457142.857144,0.11834319526629056,0.0,0.9375000000000013,0.9375000000000013,板块第3；14:30后0.12%；分时位置94%；日内位置94%,,无明显扣分项
2026-04-20,1,300617,安靠智电,创业板,创业板,https://quote.eastmoney.com/sz300617.html,85,短线候选,5分钟分时,65.04,2026-04-21,-0.5842558425584454,-4.858548585485856,-4.812423124231257,-0.5842558425584454,-10.00922509225093,-4.9624231242312575,中性偏强,12,15,15,15,18,10,7.008884501480761,1.7702287093861153,8.694433222790105,907788072.22,10778235996.150145,2.862565238019932,3.107165504121756,0.9440154440154456,0.9440154440154456,板块第1；14:30后2.86%；分时位置94%；日内位置94%,,无明显扣分项
2026-04-20,2,300444,双杰电气,创业板,创业板,https://quote.eastmoney.com/sz300444.html,84,短线候选,5分钟分时,15.87,2026-04-21,-1.2602394454946375,-2.8355387523629427,-3.7177063642091945,-0.8821676118462407,-4.347826086956519,-3.8677063642091944,中性偏强,12,15,15,15,17,10,4.202232435981612,1.303276644747176,10.796521524624838,1352302761.42,12769305510.534845,0.12618296529969264,-0.6261740763932488,0.8674698795180709,0.8674698795180709,板块第1；14:30后0.13%；分时位置87%；日内位置87%,,无明显扣分项
2026-04-20,3,300337,银邦股份,创业板,创业板,https://quote.eastmoney.com/sz300337.html,84,短线候选,5分钟分时,14.7,2026-04-21,-0.6802721088435382,1.4965986394557929,0.612244897959191,2.0408163265306145,-0.8163265306122436,0.462244897959191,中性偏强,12,15,15,15,17,10,3.2303370786516794,1.8326663015173288,8.33154603954916,994816360.28,12082208436.724566,0.13623978201635634,-0.06798096532971698,0.8870967741935478,0.8870967741935478,板块第1；14:30后0.14%；分时位置89%；日内位置89%,,无明显扣分项
2026-04-20,4,300133,华策影视,创业板,创业板,https://quote.eastmoney.com/sz300133.html,84,短线候选,5分钟分时,7.99,2026-04-21,0.1126408010012403,-0.7509386733416834,-1.126408010012514,1.5018773466833446,-1.5018773466833557,-1.276408010012514,中性偏强,12,15,15,15,17,10,6.264130868466555,2.606885933211539,6.8959612860238355,1013469149.89,14969086603.518267,0.6297229219143663,1.653944020356235,0.9200000000000016,0.9200000000000016,板块第1；14:30后0.63%；分时位置92%；日内位置92%,,无明显扣分项
2026-04-20,5,300821,东岳硅材,创业板,创业板,https://quote.eastmoney.com/sz300821.html,84,短线候选,5分钟分时,14.6,2026-04-21,-1.5068493150684814,-1.1643835616438336,-2.1917808219178103,-0.4109589041095929,-2.945205479452051,-2.3417808219178102,中性偏强,12,15,15,15,17,10,4.960460100647013,1.4203743367891186,7.455441916666667,1282449818.1599998,17520000000.0,0.06854009595613775,0.9681881051175623,0.9506172839506162,0.9506172839506162,板块第1；14:30后0.07%；分时位置95%；日内位置95%,,无明显扣分项
2026-04-22,1,300303,聚飞光电,创业板,创业板,https://quote.eastmoney.com/sz300303.html,83,短线候选,5分钟分时,10.3,2026-04-23,-0.2815533980582541,1.844660194174752,-0.9708737864077777,3.0097087378640586,-1.0679611650485588,-1.1208737864077776,中性偏强,12,14,15,15,17,10,6.393967565334169,1.4137745303626745,13.310658478006552,1932488113.8700001,14592994475.138123,0.09718172983481654,0.09718172983481654,0.8684210526315794,0.8684210526315794,板块第2；14:30后0.10%；分时位置87%；日内位置87%,,无明显扣分项
2026-04-22,2,300657,弘信电子,创业板,创业板,https://quote.eastmoney.com/sz300657.html,83,短线候选,5分钟分时,36.97,2026-04-23,0.0811468758452838,-0.1622937516905676,-2.0016229375169114,1.4065458479848525,-2.1098187719772787,-2.1516229375169114,中性偏强,12,14,15,15,17,10,6.2051134731399005,1.3123621243065828,10.151852029813332,1789050038.89,17824312162.509644,0.3801248981808225,0.5439216752787468,0.8913857677902622,0.8913857677902622,板块第2；14:30后0.38%；分时位置89%；日内位置89%,,无明显扣分项
2026-04-22,3,300209,行云科技,创业板,创业板,https://quote.eastmoney.com/sz300209.html,83,短线候选,5分钟分时,13.78,2026-04-23,-2.1770682148040565,-0.07256894049346707,-2.9027576197387384,1.59651669085632,-3.338171262699563,-3.0527576197387383,中性偏强,12,14,15,15,17,10,7.404520654715507,1.2385475941618203,13.565270377617725,1653891228.1399999,12796716103.235186,0.21818181818180626,-0.6488824801730297,0.826315789473684,0.826315789473684,板块第2；14:30后0.22%；分时位置83%；日内位置83%,,无明显扣分项
2026-04-22,4,300398,飞凯材料,创业板,创业板,https://quote.eastmoney.com/sz300398.html,83,短线候选,5分钟分时,31.5,2026-04-23,0.952380952380949,1.5555555555555545,-1.1746031746031727,2.2222222222222365,-1.3650793650793691,-1.3246031746031726,中性偏强,12,14,15,15,17,10,4.47761194029852,1.8697935189220145,12.57315476196541,2224271304.22,17956324035.15476,0.5747126436781658,1.1235955056179803,0.83695652173913,0.83695652173913,板块第2；14:30后0.57%；分时位置84%；日内位置84%,,无明显扣分项
2026-04-22,5,300738,奥飞数据,创业板,创业板,https://quote.eastmoney.com/sz300738.html,82,短线候选,5分钟分时,24.69,2026-04-23,-1.1097610368570265,1.3365735115431265,-0.6480356419603095,2.2681247468610666,-1.3365735115431376,-0.7980356419603095,中性偏强,12,14,15,14,17,10,3.975406384233149,1.2211174019248148,10.839077326686276,2580249082.1600003,24324985756.38507,0.4475183075671296,0.6522625356706113,0.9120000000000005,0.9120000000000005,板块第2；14:30后0.45%；分时位置91%；日内位置91%,,无明显扣分项
