pick_date,pick_time,generated_at,score,conclusion,candidate_tier,short_ready,short_reason,short_blockers,code,name,stock_url,board,industry,pct,price,volume_ratio,turnover,amount,float_mv,sector_rank,sector_avg_pct,sector_lifecycle,relative_strength,market_score,market_light_score,market_light_status,market_light_label,limit_up_count,limit_down_count,limit_spread,sector_score,trend_score,quant_score,intraday_score,risk_score,strategy_score,strategy_penalty,strategy_tags,tail_heat_limit,tail_heat_level,avg_range5,bias_ma5_range_ratio,bias_ma5_percentile60,return_3d,return_5d,ma20_slope,vwap_support_ratio,late_vwap_support_ratio,vwap_deviation,late_amount_ratio,late_up_amount_ratio,max_tail_5m_return,tail_slope,ma5,ma10,ma20,bias_ma5,bias_ma10,bias_ma20,last_time,late_return,last5_return,day_range_pos,intraday_range_pos,flags,adaptive_hits
2026-08-20,15:33:18,2026-08-20 15:33:18,100,主推荐,主推荐,是,主推荐；板块第2；板块启动；跑赢板块5.88%；MA5乖离2.23%；动态乖离0.36倍；14:30后0.26%；尾盘可接受；VWAP偏离1.26%；分时位置71%；日内位置70%；动态乖离健康；MA20斜率向上,,300328,宜安科技,https://quote.eastmoney.com/sz300328.html,创业板,创业板,7.65,15.19,1.8,8.27,852020000.0,10488000000.0,2,1.7747067448680345,启动,5.875293255131966,17,74,green,绿灯,79,14,65,16,15,15,20,10,14,0,动态乖离健康；MA20斜率向上；尾盘可接受走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯；板块启动,1.0,可接受,6.22424953446441,0.35899692959957286,0.26666666666666666,-0.39344262295082366,2.8436018957346043,8.809070726292422,0.9625468164794008,1.0,1.2571733519864958,0.10005641757719558,0.5978255012560326,0.39630118890354726,0.004400440044004157,14.858,14.774000000000001,13.723000000000003,2.234486471934294,2.8157574116691286,10.690082343510877,15:30,0.26402640264024946,0.0,0.7032258064516125,0.7092198581560283,无明显扣分项,
2026-08-20,15:33:20,2026-08-20 15:33:20,100,主推荐,主推荐,是,主推荐；板块第3；板块启动；跑赢板块4.15%；MA5乖离2.65%；动态乖离0.72倍；14:30后0.29%；尾盘可接受；VWAP偏离0.77%；分时位置88%；日内位置88%；动态乖离健康；尾盘可接受走强,,002603,以岭药业,https://quote.eastmoney.com/sz002603.html,深主板,深主板,5.27,17.38,1.91,4.07,966640000.0,29037000000.0,3,1.1205218617771515,启动,4.1494781382228485,17,74,green,绿灯,79,14,65,16,15,13,20,9,14,0,动态乖离健康；尾盘可接受走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯；板块启动,0.52,可接受,3.654096191398839,0.7240853796864145,0.8333333333333334,3.45238095238094,2.4764150943396013,-0.2586591348298195,0.9250936329588015,1.0,0.769256053685119,0.13012606243840388,0.6187376648978706,0.4610951008645392,0.004808617041739034,16.932,16.929,16.773999999999997,2.6458776281597096,2.6640675763482724,3.6127339930845492,15:30,0.2885170225043421,0.0,0.875,0.8823529411764678,MA20斜率不强,
2026-08-20,15:33:18,2026-08-20 15:33:18,100,核心候选,核心候选,是,核心候选；板块第3；板块启动；跑赢板块3.30%；MA5乖离4.96%；动态乖离1.19倍；14:30后0.16%；尾盘温和；VWAP偏离1.78%；分时位置93%；日内位置90%；MA20斜率向上；尾盘温和走强,,002647,仁东控股,https://quote.eastmoney.com/sz002647.html,深主板,深主板,4.42,12.52,1.53,4.47,558600000.0,14151000000.0,3,1.1205218617771515,启动,3.2994781382228484,17,74,green,绿灯,79,14,65,16,15,15,20,9,14,1,MA20斜率向上；尾盘温和走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯；板块启动,0.78,温和,4.18666438685217,1.1854573347105903,0.7166666666666667,4.594820384294063,9.154315605928499,9.12742455472757,0.9737827715355806,1.0,1.7762974847736146,0.15254806670629095,0.6938046214113841,0.7246376811594235,0.002666666666666743,11.928,11.306,10.324000000000002,4.963112005365522,10.737661418715728,21.270825261526525,15:30,0.16000000000000458,0.0,0.896103896103896,0.9305555555555546,MA5动态乖离偏高,
2026-08-20,15:33:21,2026-08-20 15:33:21,100,核心候选,核心候选,是,核心候选；板块第2；板块启动；跑赢板块4.29%；MA5乖离4.17%；动态乖离0.89倍；14:30后1.07%；尾盘偏热；VWAP偏离1.20%；分时位置98%；日内位置91%；MA20斜率向上；VWAP全天承接,,301301,川宁生物,https://quote.eastmoney.com/sz301301.html,创业板,创业板,6.06,9.45,1.66,5.44,314900000.0,21095000000.0,2,1.7747067448680345,启动,4.285293255131965,17,74,green,绿灯,79,14,65,16,15,13,20,9,13,2,MA20斜率向上；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯；板块启动,0.58,偏热,4.671934386313814,0.8918504247133061,0.9666666666666667,2.1621621621621623,6.299212598425186,1.3571551279848881,0.7265917602996255,1.0,1.1970502240709724,0.16416734504651992,0.8800225976862087,0.5324813631522707,0.017825311942959072,9.072,9.039,8.850000000000001,4.166666666666674,4.546963159641559,6.7796610169491345,15:30,1.0695187165775444,0.0,0.9090909090909068,0.9756097560975572,尾盘涨幅偏热,
2026-08-20,15:33:22,2026-08-20 15:33:22,100,核心候选,核心候选,是,核心候选；板块第4；板块分歧；跑赢板块2.92%；MA5乖离1.75%；动态乖离0.55倍；14:30后0.39%；尾盘可接受；VWAP偏离0.18%；分时位置77%；日内位置77%；动态乖离健康；MA20斜率向上,,600789,鲁抗医药,https://quote.eastmoney.com/sh600789.html,沪主板,沪主板,3.92,7.69,1.4,4.93,382530000.0,8038000000.0,4,0.9964434889434892,分歧,2.9235565110565105,17,74,green,绿灯,79,14,65,13,15,14,20,9,14,2,动态乖离健康；MA20斜率向上；尾盘可接受走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯,0.5,可接受,3.1692722738507673,0.5510709180254866,0.7,2.2606382978723527,1.0512483574244502,0.9960699281745589,0.7565543071161048,0.9285714285714286,0.17555490986738143,0.09817235108916628,0.8065830036804059,0.3916449086161844,0.006527415143603073,7.558,7.557,7.452500000000001,1.7464937814236636,1.759957655154154,3.1868500503186903,15:30,0.3916449086161844,0.0,0.7692307692307705,0.7692307692307705,板块分歧,
2026-08-20,15:33:18,2026-08-20 15:33:18,97,核心候选,核心候选,是,核心候选；板块第3；板块启动；跑赢板块1.79%；MA5乖离2.18%；动态乖离0.52倍；14:30后0.97%；尾盘偏热；VWAP偏离0.11%；分时位置68%；日内位置70%；动态乖离健康；MA20斜率向上,,000756,新华制药,https://quote.eastmoney.com/sz000756.html,深主板,深主板,2.91,14.5,1.75,5.84,421780000.0,10102000000.0,3,1.1205218617771515,启动,1.7894781382228486,17,74,green,绿灯,79,14,65,16,15,14,20,8,12,5,动态乖离健康；MA20斜率向上；VWAP全天承接；尾盘成交占比健康；尾盘上行成交占优；不弱于板块；市场绿灯；板块启动,0.5,偏热,4.191356413977215,0.5212243609426107,0.6166666666666667,3.719599427753928,1.469559132260323,1.4392968320820598,0.6591760299625468,0.5357142857142857,0.10695198683403628,0.1002728100620745,0.8299645904957355,0.48644892286309194,0.016248839368616652,14.190000000000001,14.127000000000004,13.848999999999998,2.1846370683579863,2.6403341119841217,4.700700411582082,15:30,0.9749303621169991,0.0,0.6999999999999993,0.6818181818181814,尾盘VWAP承接不足；尾盘涨幅偏热,
