pick_date,pick_time,generated_at,score,conclusion,short_ready,short_reason,short_blockers,code,name,stock_url,board,industry,pct,price,volume_ratio,turnover,amount,float_mv,sector_rank,market_score,sector_score,trend_score,quant_score,intraday_score,risk_score,last_time,late_return,last5_return,day_range_pos,intraday_range_pos,flags,adaptive_hits
2026-07-03,17:26:46,2026-07-03 17:26:46,88,短线候选,是,板块第2；14:30后0.00%；分时位置84%；日内位置84%,,002345,潮宏基,https://quote.eastmoney.com/sz002345.html,深主板,深主板,5.73,10.52,2.17,5.75,517420000.0,9347000000.0,2,15,16,15,15,17,10,15:00,0.0,0.2859866539561384,0.8374999999999991,0.8374999999999991,无明显扣分项,
2026-07-03,17:26:49,2026-07-03 17:26:49,88,短线候选,是,板块第3；14:30后1.93%；分时位置82%；日内位置82%,,603009,北特科技,https://quote.eastmoney.com/sh603009.html,沪主板,沪主板,5.62,53.34,1.21,4.27,759770000.0,18476000000.0,3,15,16,15,14,18,10,15:00,1.9300592394420057,0.88897295252508,0.8195121951219525,0.8195121951219525,无明显扣分项,
2026-07-03,17:26:46,2026-07-03 17:26:46,86,短线候选,是,板块第2；14:30后2.91%；分时位置76%；日内位置76%,,002020,京新药业,https://quote.eastmoney.com/sz002020.html,深主板,深主板,3.62,15.19,3.25,8.71,936030000.0,13079000000.0,2,15,16,13,15,17,10,15:00,2.9132791327913354,0.5294506949040434,0.7647058823529405,0.7647058823529405,无明显扣分项,
2026-07-03,17:26:46,2026-07-03 17:26:46,86,短线候选,是,板块第2；14:30后0.64%；分时位置82%；日内位置82%,,002150,正泰电源,https://quote.eastmoney.com/sz002150.html,深主板,深主板,4.79,26.9,1.29,5.7,539880000.0,9707000000.0,2,15,16,13,15,17,10,15:00,0.6359895248783998,0.037188545927846484,0.8227848101265813,0.8227848101265813,无明显扣分项,
2026-07-03,17:26:47,2026-07-03 17:26:47,86,短线候选,是,板块第1；14:30后1.45%；分时位置89%；日内位置89%,,300539,横河精密,https://quote.eastmoney.com/sz300539.html,创业板,创业板,7.26,25.25,2.39,12.05,648380000.0,6770000000.0,1,15,16,13,14,18,10,15:00,1.44636400160707,0.9596161535385672,0.8899082568807346,0.8899082568807346,无明显扣分项,
2026-07-03,17:26:47,2026-07-03 17:26:47,83,短线候选,是,板块第1；14:30后0.65%；分时位置68%；日内位置68%,,300516,久之洋,https://quote.eastmoney.com/sz300516.html,创业板,创业板,5.34,37.07,1.87,6.3,579730000.0,9342000000.0,1,15,16,11,15,16,10,15:00,0.6516426825957211,0.05398110661269939,0.6843575418994411,0.6843575418994411,无明显扣分项,
2026-07-03,17:26:49,2026-07-03 17:26:49,82,短线候选,是,板块第1；14:30后0.07%；分时位置68%；日内位置68%,,301282,金禄电子,https://quote.eastmoney.com/sz301282.html,创业板,创业板,5.99,30.07,1.29,10.83,569470000.0,6343000000.0,1,15,16,11,14,16,10,15:00,0.0665557404326167,0.23333333333332984,0.679245283018868,0.679245283018868,无明显扣分项,
2026-07-03,17:26:51,2026-07-03 17:26:51,81,短线候选,是,板块第3；14:30后0.11%；分时位置76%；日内位置76%,,603131,上海沪工,https://quote.eastmoney.com/sh603131.html,沪主板,沪主板,4.54,18.9,1.46,4.95,312120000.0,6368000000.0,3,15,16,11,13,16,10,15:00,0.10593220338983578,0.0,0.7619047619047613,0.7619047619047613,无明显扣分项,
