pick_date,pick_time,generated_at,score,conclusion,candidate_tier,short_ready,short_reason,short_blockers,code,name,stock_url,board,industry,pct,price,volume_ratio,turnover,amount,float_mv,sector_rank,sector_avg_pct,sector_lifecycle,relative_strength,market_score,market_light_score,market_light_status,market_light_label,limit_up_count,limit_down_count,limit_spread,sector_score,trend_score,quant_score,intraday_score,risk_score,strategy_score,strategy_penalty,strategy_tags,tail_heat_limit,tail_heat_level,avg_range5,bias_ma5_range_ratio,bias_ma5_percentile60,return_3d,return_5d,ma20_slope,vwap_support_ratio,late_vwap_support_ratio,vwap_deviation,late_amount_ratio,late_up_amount_ratio,max_tail_5m_return,tail_slope,ma5,ma10,ma20,bias_ma5,bias_ma10,bias_ma20,last_time,late_return,last5_return,day_range_pos,intraday_range_pos,flags,adaptive_hits
2026-07-10,23:43:19,2026-07-10 23:43:19,100,核心候选,核心候选,是,核心候选；板块第2；板块启动；跑赢板块4.86%；MA5乖离1.48%；动态乖离0.22倍；14:30后0.00%；尾盘温和；VWAP偏离1.83%；分时位置80%；日内位置80%；动态乖离健康；MA20斜率向上,,603456,九洲药业,https://quote.eastmoney.com/sh603456.html,沪主板,沪主板,5.88,14.77,1.24,4.15,530660000.0,13022999999.999998,2,1.0171945979128316,启动,4.862805402087169,15,69,green,绿灯,92,9,83,16,15,15,20,10,14,0,动态乖离健康；MA20斜率向上；尾盘温和走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯；板块启动,1.0,温和,6.752416524134427,0.21979213951798274,0.45,4.677533664068045,-3.4640522875817092,4.4309129901960675,0.9887640449438202,1.0,1.833019591243712,0.08737920272013837,0.6339167181677963,0.40816326530612734,0.0,14.553999999999998,14.3,13.6345,1.4841280747560859,3.286713286713283,8.328138178884448,15:30,0.0,0.0,0.7986111111111106,0.8028169014084499,无明显扣分项,
2026-07-10,23:43:19,2026-07-10 23:43:19,100,核心候选,核心候选,是,核心候选；板块第1；板块启动；跑赢板块3.28%；MA5乖离2.75%；动态乖离0.52倍；14:30后1.49%；尾盘偏热；VWAP偏离2.32%；分时位置100%；日内位置99%；动态乖离健康；MA20斜率向上,,002605,姚记科技,https://quote.eastmoney.com/sz002605.html,深主板,深主板,4.4,20.41,1.3,5.94,400880000.0,8523000000.0,1,1.115722379603399,启动,3.284277620396601,15,69,green,绿灯,92,9,83,16,15,14,20,9,14,2,动态乖离健康；MA20斜率向上；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯；板块启动,0.8,偏热,5.250727775101556,0.5234876415628499,0.8333333333333334,2.459839357429705,6.91461498166579,1.8568926020752219,0.9662921348314607,1.0,2.3244446150545883,0.19832758028676784,0.755990864809654,0.6410256410256387,0.024863252113376626,19.863999999999997,19.240000000000002,18.897000000000002,2.7486910994764635,6.0810810810810745,8.006561888130381,15:30,1.4917951268025975,0.0,0.9921259842519673,1.0,尾盘涨幅偏热,
2026-07-10,23:43:22,2026-07-10 23:43:22,100,核心候选,核心候选,是,核心候选；板块第1；板块启动；跑赢板块4.62%；MA5乖离4.19%；动态乖离0.64倍；14:30后0.97%；尾盘可接受；VWAP偏离1.63%；分时位置79%；日内位置78%；动态乖离健康；MA20斜率向上,,002437,誉衡药业,https://quote.eastmoney.com/sz002437.html,深主板,深主板,5.74,3.13,1.55,7.27,470460000.0,6979000000.000001,1,1.115722379603399,启动,4.624277620396601,15,69,green,绿灯,92,9,83,16,15,13,20,10,14,0,动态乖离健康；MA20斜率向上；尾盘可接受走强；VWAP全天承接；尾盘VWAP承接；尾盘成交占比健康；尾盘上行成交占优；跑赢板块2%+；市场绿灯；板块启动,1.0,可接受,6.5978674851041195,0.6357216882870115,0.8666666666666667,7.931034482758625,3.300330033003296,2.5969207939158023,0.9812734082397003,1.0,1.631397889387154,0.09463106768686086,0.6758838398047661,0.6451612903225712,0.01612903225806428,3.004,2.917,2.7655000000000003,4.194407456724369,7.302022625985605,13.18025673476766,15:30,0.9677419354838568,0.0,0.7812499999999993,0.7931034482758619,无明显扣分项,
